.185781981552890496e-5,.170706618515727854e-5,.171052425500077543e-5,.189863303695983476e-5,.203921044385386996e-5,.210862217644384314e-5,.223605274201656157e-5,.213804542084552324e-5,.200030130455969291e-5,.185781981552890496e-5
.198713964774926283e-5,.203733798921916683e-5,.207214183071285397e-5,.215843389058376946e-5,.219330942219961127e-5,.220972895906583131e-5,.223590671366200554e-5,.221980666889783074e-5,.218467699505606183e-5,.198713964774926283e-5
.540063007000934903e-3,.488442238204100931e-3,.436102918551117824e-3,.278140136154014783e-3,.204078257756812320e-3,.168788992704449470e-3,.110050556216378936e-3,.149298658418839381e-3,.223090381043622443e-3,.540063007000934903e-3
.709451821415019168e-3,.623764941033666531e-3,.547776143077438604e-3,.330854172549077674e-3,.232814083035215447e-3,.186264601956587228e-3,.109606660878558415e-3,.159926873128934943e-3,.257782675165518782e-3,.709451821415019168e-3
.752360379477901020e-3,.608131169675507621e-3,.566051019136981637e-3,.557611009896818999e-3,.588628970991322831e-3,.605007723012862542e-3,.640169912069277203e-3,.608081418697503651e-3,.578776163528083032e-3,.752360379477901020e-3
.752363287520596558e-3,.677625451971974879e-3,.650670842121281456e-3,.624837193030969296e-3,.629095575136850993e-3,.631880900149817126e-3,.640229417325499650e-3,.630631646468260421e-3,.627120617077314702e-3,.752363287520596558e-3
.912056597145993742e-3,.972521998808262289e-3,.995702661163500036e-3,.102203718718935077e-2,.102148762385362302e-2,.102066634498126918e-2,.101644406955131439e-2,.102244609418356003e-2,.102233781150007363e-2,.912056597145993742e-3
.912058368268908737e-3,.117234162009971499e-2,.123901547157689862e-2,.121533945742546834e-2,.113784477040868026e-2,.109793665219903858e-2,.101661382267836942e-2,.108728487840581423e-2,.116134469055539924e-2,.912058368268908737e-3
.949837877489256854e-3,.107266173130637910e-2,.114690586446353215e-2,.131339990251677641e-2,.137443564412720320e-2,.140278431390306046e-2,.144620958312979830e-2,.142139364132964907e-2,.135970406370589103e-2,.949837877489256854e-3
.949840658308609420e-3,.116782135162374345e-2,.128781377138365016e-2,.153451730712772516e-2,.161607739288438523e-2,.165343945633811273e-2,.170803731541857573e-2,.167995884895333347e-2,.159700578373467295e-2,.949840658308609420e-3
